episode_id,episode_length_min,genre,num_ads,guest_rating,host_experience_years,avg_listen_minutes
EP001,42.3,True Crime,4,2.7,4,36.6
EP002,56.1,Tech,4,4.0,4,38.4
EP003,16.6,True Crime,4,4.9,9,20.1
EP004,58.2,Fiction,0,3.9,10,46.4
EP005,37.4,Comedy,3,4.3,8,27.7
EP006,28.4,Business,3,4.2,5,29.7
EP007,28.4,True Crime,1,3.4,5,34.7
EP008,25.0,Comedy,5,4.1,9,26.7
EP009,35.3,Business,0,3.4,7,35.8
EP010,48.0,Business,5,5.0,9,37.2
EP011,45.0,Comedy,0,4.1,9,46.5
EP012,45.7,True Crime,0,3.2,2,40.9
EP013,17.7,Comedy,5,2.9,6,21.0
EP014,19.1,Business,2,5.0,2,20.8
EP015,56.6,Fiction,4,4.4,3,39.2
EP016,49.6,True Crime,3,4.2,9,39.1
EP017,64.2,True Crime,3,3.0,6,43.6
EP018,52.5,Comedy,2,3.5,8,34.6
EP019,25.7,Comedy,1,3.1,4,30.3
EP020,53.4,Comedy,2,4.7,4,48.0
EP021,45.5,Health,2,3.6,4,37.0
EP022,40.6,True Crime,5,5.0,2,36.5
EP023,28.2,Tech,0,4.3,1,28.2
EP024,38.0,True Crime,0,3.7,2,37.2
EP025,36.2,Tech,3,4.9,10,27.0
EP026,48.7,Tech,5,2.5,9,30.5
EP027,39.5,True Crime,3,3.3,7,25.8
EP028,57.0,True Crime,4,3.7,8,39.8
EP029,28.7,Fiction,0,4.7,7,31.0
EP030,43.7,Fiction,1,4.7,3,36.1
EP031,44.0,Tech,0,4.2,4,32.7
EP032,27.6,True Crime,2,2.7,2,29.6
EP033,23.8,Tech,1,3.6,1,25.8
EP034,50.2,Tech,3,3.2,8,33.5
EP035,44.2,Fiction,5,4.8,1,26.6
EP036,36.0,Tech,5,3.6,5,22.7
EP037,42.7,True Crime,1,4.3,9,44.2
EP038,29.9,Fiction,0,5.0,7,25.9
EP039,40.9,Health,0,3.9,2,37.4
EP040,30.7,Comedy,5,4.4,4,24.5
EP041,40.3,Tech,1,3.7,1,29.6
EP042,49.8,Business,0,4.0,3,42.8
EP043,33.9,Tech,2,4.0,0,26.6
EP044,48.2,True Crime,1,3.9,4,39.3
EP045,25.6,True Crime,1,4.0,2,32.6
EP046,34.5,Health,0,3.7,6,25.6
EP047,21.6,Tech,3,5.0,7,29.8
EP048,36.8,Comedy,5,3.5,7,24.3
EP049,38.9,True Crime,3,4.1,0,28.3
EP050,35.6,Business,5,3.7,0,28.4
EP051,34.8,Comedy,4,2.3,0,35.7
EP052,54.1,Tech,2,4.6,0,43.8
EP053,55.1,Tech,2,4.1,1,35.5
EP054,23.4,True Crime,4,3.0,5,12.6
EP055,52.1,Health,5,3.4,2,33.3
EP056,17.3,Comedy,0,2.8,9,23.2
EP057,29.2,Fiction,5,4.1,4,20.6
EP058,35.9,Business,3,5.0,5,29.4
EP059,39.3,Business,3,4.8,4,28.3
EP060,25.4,Tech,2,3.0,11,27.4
EP061,29.3,Tech,5,2.7,10,20.6
EP062,38.9,True Crime,3,4.3,2,32.0
EP063,29.7,Comedy,1,5.0,10,25.1
EP064,30.3,Tech,1,4.0,5,28.9
EP065,46.0,True Crime,4,4.7,8,32.9
EP066,49.2,Business,3,2.9,11,37.9
EP067,37.3,Comedy,3,3.8,8,31.6
EP068,38.2,Comedy,2,4.2,10,27.3
EP069,37.8,Business,0,3.6,8,31.9
EP070,32.5,Fiction,2,3.8,1,22.3
EP071,31.9,Tech,4,4.4,2,26.5
EP072,25.5,Business,2,3.5,5,24.1
EP073,45.8,Health,4,3.2,2,34.0
EP074,37.0,Business,2,4.4,3,26.7
EP075,36.4,Health,4,4.1,7,30.5
EP076,40.4,Tech,3,3.2,3,22.6
EP077,44.4,Health,3,4.2,3,34.3
EP078,55.1,Business,4,3.5,11,37.2
EP079,34.7,Fiction,5,4.4,10,29.8
EP080,33.2,Fiction,3,3.9,6,28.1
EP081,40.4,Business,2,3.7,11,37.3
EP082,27.9,Fiction,0,3.4,5,26.6
EP083,53.3,Comedy,3,4.1,7,40.0
