listener_id,hours_per_week,num_genres_followed,num_episodes_completed,skip_rate_percent,days_since_signup,is_premium
L0001,3.2,3,7.0,74.0,435,1
L0002,1.7,3,7.0,100.0,189,0
L0003,4.0,5,4.0,70.5,860,1
L0004,5.1,3,10.0,57.9,558,1
L0005,2.0,6,4.0,86.2,490,1
L0006,5.9,7,8.0,63.6,790,1
L0007,1.2,7,2.0,94.4,6,0
L0008,3.1,5,2.0,70.5,126,0
L0009,1.2,6,2.0,77.0,870,1
L0010,2.7,1,2.0,80.6,483,0
L0011,2.1,7,2.0,81.8,571,0
L0012,6.3,5,9.0,53.5,41,1
L0013,3.7,4,4.0,76.0,612,1
L0014,1.0,5,3.0,100.0,281,0
L0015,3.4,4,3.0,91.2,278,1
L0016,5.1,7,6.0,71.9,59,1
L0017,5.3,3,6.0,81.1,381,1
L0018,5.4,2,8.0,86.8,125,0
L0019,1.8,7,3.0,100.0,405,0
L0020,0.6,5,3.0,78.8,212,0
L0021,0.6,6,0.0,88.6,29,0
L0022,9.3,7,11.0,47.0,586,1
L0023,6.1,6,9.0,72.9,230,1
L0024,1.9,7,6.0,75.9,576,1
L0025,6.0,1,10.0,86.0,851,0
L0026,1.7,1,0.0,83.0,160,0
L0027,8.0,2,11.0,42.1,481,1
L0028,9.0,5,11.0,24.9,249,1
L0029,2.4,6,3.0,94.8,142,0
L0030,1.8,5,4.0,99.3,690,1
L0031,3.2,5,5.0,90.1,456,0
L0032,1.0,1,1.0,96.4,657,0
L0033,3.0,7,1.0,85.7,176,1
L0034,6.3,5,8.0,63.4,323,1
L0035,3.5,2,3.0,97.4,707,0
L0036,0.8,6,2.0,100.0,45,0
L0037,1.6,2,4.0,100.0,230,0
L0038,1.9,2,1.0,71.9,767,0
L0039,3.8,1,5.0,60.7,314,0
L0040,0.9,5,3.0,100.0,596,0
L0041,3.7,1,2.0,84.2,494,0
L0042,3.1,1,3.0,86.8,624,1
L0043,0.2,1,0.0,98.1,627,0
L0044,2.1,2,2.0,90.6,540,0
L0045,0.9,7,1.0,90.2,650,1
L0046,3.0,3,3.0,88.7,773,1
L0047,1.6,2,5.0,73.7,297,0
L0048,3.6,5,6.0,79.5,110,1
L0049,6.9,6,10.0,52.3,847,1
L0050,0.8,4,4.0,86.6,388,0
L0051,0.4,5,5.0,95.4,514,0
L0052,7.0,7,9.0,56.1,737,1
L0053,2.9,1,4.0,81.4,209,0
L0054,1.1,5,2.0,100.0,718,0
L0055,1.3,7,4.0,79.8,894,0
L0056,4.6,3,2.0,62.7,175,1
L0057,7.2,6,9.0,57.0,532,1
L0058,4.3,7,11.0,74.1,611,1
L0059,2.9,2,4.0,86.6,789,0
L0060,5.1,2,11.0,78.8,884,1
L0061,3.0,5,9.0,85.5,443,0
L0062,1.1,7,3.0,84.5,549,1
L0063,3.5,4,9.0,100.0,696,1
L0064,1.0,4,2.0,96.0,50,0
L0065,1.0,3,0.0,94.5,120,0
L0066,5.2,4,6.0,69.6,891,1
L0067,11.7,3,18.0,21.2,265,1
L0068,2.6,4,9.0,76.7,538,0
L0069,1.2,3,3.0,93.0,149,0
L0070,1.9,4,0.0,91.3,247,0
L0071,2.3,3,3.0,91.6,381,0
L0072,4.6,4,2.0,61.9,556,1
L0073,2.1,6,3.0,94.5,235,1
L0074,0.2,6,4.0,87.7,767,0
